page_number,report_page,dashboard_section,audience,period_type,selected_period,year,compare_to_year,market,metric_group,metric_name,raw_powerbi_metric,spending_category,value_display,value_numeric,value_rm_million,unit,notes,scraped_at
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Singapore,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,21.58K,21.58,21580,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:23.184Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,Singapore,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,27.94K,27.94,27940,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:23.184Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,South Africa,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,99.72,99.72,99.72,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:25.014Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,South Africa,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,75.69,75.69,75.69,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:25.014Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,South Africa,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,87.86,87.86,87.86,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:25.014Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,South Korea,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,3379.70,3379.7,3379.7,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:26.864Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,South Korea,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2302.97,2302.97,2302.97,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:26.864Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2024,,South Korea,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,2901.45,2901.45,2901.45,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:26.864Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2019,,Spain,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,183.84,183.84,183.84,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:28.755Z
1,Visitors-Overview (Full Year),Overview,Visitors,Full year,Full year,2023,,Spain,Total expenditure,Visitors expenditure to Malaysia,EXPENDITURE (RM MIL.) FULL YEAR,All spending categories,223.54,223.54,223.54,RM million,Scraped from full year overview column chart.,2026-09-11T09:21:28.755Z
