year,origin_state,destination_state,tourists_thousands
2021,Perlis,W.P. Kuala Lumpur,3.092
2021,Perlis,W.P. Labuan,0.0
2021,Perlis,W.P. Putrajaya,1.044
2021,Selangor,Johor,263.633
2021,Selangor,Kedah,122.427
2021,Selangor,Kelantan,254.644
2021,Selangor,Melaka,401.226
2021,Selangor,Negeri Sembilan,193.514
2021,Selangor,Pahang,160.348
2021,Selangor,Pulau Pinang,234.731
2021,Selangor,Perak,298.925
2021,Selangor,Perlis,1.916
2021,Selangor,Selangor,524.465
2021,Selangor,Terengganu,223.928
2021,Selangor,Sabah,41.346
2021,Selangor,Sarawak,50.059
2021,Selangor,W.P. Kuala Lumpur,191.647
2021,Selangor,W.P. Labuan,0.0
2021,Selangor,W.P. Putrajaya,11.548
2021,Terengganu,Johor,14.289
2021,Terengganu,Kedah,22.895
2021,Terengganu,Kelantan,33.675
2021,Terengganu,Melaka,1.596
2021,Terengganu,Negeri Sembilan,20.513
2021,Terengganu,Pahang,41.629
2021,Terengganu,Pulau Pinang,12.44
2021,Terengganu,Perak,23.495
2021,Terengganu,Perlis,2.582
2021,Terengganu,Selangor,65.694
2021,Terengganu,Terengganu,494.251
2021,Terengganu,Sabah,7.964
2021,Terengganu,Sarawak,9.311
2021,Terengganu,W.P. Kuala Lumpur,38.257
2021,Terengganu,W.P. Labuan,0.0
2021,Terengganu,W.P. Putrajaya,12.851
2021,Sabah,Johor,4.093
2021,Sabah,Kedah,17.192
2021,Sabah,Kelantan,0.0
2021,Sabah,Melaka,0.0
2021,Sabah,Negeri Sembilan,0.0
2021,Sabah,Pahang,0.0
2021,Sabah,Pulau Pinang,9.578
2021,Sabah,Perak,0.0
2021,Sabah,Perlis,0.0
2021,Sabah,Selangor,11.257
2021,Sabah,Terengganu,0.0
2021,Sabah,Sabah,946.578
2021,Sabah,Sarawak,28.132
2021,Sabah,W.P. Kuala Lumpur,27.22
2021,Sabah,W.P. Labuan,9.363
2021,Sabah,W.P. Putrajaya,6.426
2021,Sarawak,Johor,4.595
2021,Sarawak,Kedah,5.774
2021,Sarawak,Kelantan,0.0
2021,Sarawak,Melaka,7.774
2021,Sarawak,Negeri Sembilan,3.709
2021,Sarawak,Pahang,0.0
2021,Sarawak,Pulau Pinang,35.043
2021,Sarawak,Perak,0.0
2021,Sarawak,Perlis,0.0
2021,Sarawak,Selangor,19.202
2021,Sarawak,Terengganu,0.0
2021,Sarawak,Sabah,26.981
2021,Sarawak,Sarawak,884.858
2021,Sarawak,W.P. Kuala Lumpur,26.516
2021,Sarawak,W.P. Labuan,9.746
2021,Sarawak,W.P. Putrajaya,4.733
2021,W.P. Kuala Lumpur,Johor,108.193
2021,W.P. Kuala Lumpur,Kedah,185.679
2021,W.P. Kuala Lumpur,Kelantan,30.441
2021,W.P. Kuala Lumpur,Melaka,115.406
2021,W.P. Kuala Lumpur,Negeri Sembilan,255.765
2021,W.P. Kuala Lumpur,Pahang,100.324
2021,W.P. Kuala Lumpur,Pulau Pinang,94.326
2021,W.P. Kuala Lumpur,Perak,247.212
2021,W.P. Kuala Lumpur,Perlis,3.103
2021,W.P. Kuala Lumpur,Selangor,279.74
2021,W.P. Kuala Lumpur,Terengganu,28.425
2021,W.P. Kuala Lumpur,Sabah,13.83
